,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,8,250000,212500.0,2021,False,EDF Energy,250000,212500.0
CCGT,0,7,250000,212500.0,2021,False,Immingham CHP LLP,500000,425000.0
CCGT,0,27,250000,212500.0,2021,False,Corby Power Ltd,750000,637500.0
CCGT,0,8,250000,212500.0,2021,False,Marchwood Power Limited,1000000,850000.0
CCGT,0,4,250000,212500.0,2021,False,Cory Energy Company Ltd,1250000,1062500.0
CCGT,0,1,250000,212500.0,2021,False,Rocksavage Power Co. Ltd,1500000,1275000.0
CCGT,0,23,250000,212500.0,2021,False,E.On UK,1750000,1487500.0
CCGT,0,26,250000,212500.0,2021,False,Centrica,2000000,1700000.0
Hydrogen,0,18,500000,425000.0,2021,False,EDF Energy,500000,2125000.0
Biomass,0,19,14000,12320.0,2020,False,Sembcorp Utilities (UK) Ltd,14000,2137320.0
Biomass,0,25,14000,12320.0,2020,False,EPR Ely Limited,28000,2149640.0
Biomass,0,24,14000,12320.0,2020,False,E.On UK,42000,2161960.0
BECCS,0,18,500000,440000.0,2020,False,International Power/Mitsui,500000,2601960.0
OCGT,75,23,500000,460000.0,2020,False,Citigen (London) UK Ltd,500000,3061960.0
OCGT,75,16,500000,460000.0,2020,False,Drax Power Ltd,1000000,3521960.0
