,Year,Capacity,Derated Capacity,Peak Demand,Capacity Margin,Derated Capacity Margin,Curtailed Hours,LossOfLoad Hours,Annual Storage Capacity
0,2010,72911200.0,57729530.0,61761700.0,0.18052449981137178,-0.06528592962952769,0,89,0.0
1,2011,74977100.0,57858165.0,60360299.99999999,0.24215916753230202,-0.04145332279660626,0,29,0.0
2,2012,81479100.0,60302407.0,60060000.0,0.35662837162837163,0.004036080586080586,0,0,0.0
3,2013,88783198.0,63757869.91000002,59959899.99999999,0.48070957423211197,0.06334183195769216,0,0,0.0
4,2014,93735550.0,65747149.109999985,60560500.0,0.5478001337505469,0.08564409326210953,0,0,0.0
5,2015,96315550.0,66338829.109999985,59859799.99999999,0.609018907513891,0.10823673166298572,0,0,0.0
6,2016,101013196.0,68190508.82,59059000.0,0.7103776901065036,0.15461671921299028,0,0,0.0
7,2017,106308195.0,71198017.97,59359299.99999999,0.7909273694265265,0.19944167080811276,0,0,0.0
8,2018,110476194.0,73249657.11999997,59659600.0,0.8517756404669157,0.2277932993181311,0,0,3589999.999999998
9,2019,108678192.0,69434816.03000002,58858799.99999999,0.8464221492792924,0.17968453366361573,33,0,3790312.4999999944
10,2020,108625191.0,67806195.18000002,57757700.0,0.8807049276546677,0.1739767196408448,92,0,3990624.9999999907
11,2021,110731190.0,68065814.33,57157100.0,0.9373129497472755,0.19085493018365168,216,0,4190937.4999999865
12,2022,113597615.0,67378605.72,56556500.0,1.0085686879492188,0.19135034381547653,595,0,4391249.999999983
13,2023,112872614.0,65046164.869999975,56256200.0,1.0064030986806787,0.15624882004116836,729,0,4591562.49999998
14,2024,109388613.0,60549394.019999996,56056000.0,0.9514166726131011,0.08015901990866268,934,0,4791874.999999976
15,2025,113783038.0,61406075.41000001,55755700.0,1.0407427043333686,0.1013416639016282,1598,0,4992187.499999975
16,2026,112217037.0,58876784.55999998,55355300.0,1.027213961445426,0.06361603243049861,1811,0,5192499.999999968
17,2027,117148036.0,61960493.71,55755700.0,1.1010952422801614,0.11128537010565738,2252,0,5392812.499999969
18,2028,122018579.0,63445825.399999976,56256200.0,1.168980112414276,0.12780147610396678,2714,0,5593124.99999997
19,2029,124965814.0,64965455.14999999,56556500.0,1.2095747438402307,0.1486823822195502,2951,0,5793437.499999974
20,2030,125355990.0,64955464.74999999,57457400.0,1.1817205442640983,0.1304978079411876,2603,0,5993749.999999981
21,2031,130983634.0,66874243.98000001,58658600.0,1.2329826146549696,0.14005864408628935,3084,0,6194062.499999975
22,2032,132029869.0,67128803.73000002,59859799.99999999,1.2056516894476763,0.12143381250856213,2643,0,6394374.999999979
23,2033,131199457.0,67905593.53000002,60960899.99999999,1.1521902891853633,0.113920456062821,2296,0,6594687.499999976
24,2034,135691059.0,70262665.37,62061999.99999999,1.1863790886532823,0.1321366596306921,2571,0,6794999.999999981
25,2035,139804298.5,73033090.94499998,62962900.0,1.2204234318940201,0.15993848671201577,2644,0,6995312.499999972
26,2036,142172810.5,74848065.53500001,63763700.0,1.2296825701770757,0.17383504305741374,2610,0,7195624.999999977
27,2037,146616112.5,76947926.06499998,64364300.0,1.2779104643412575,0.1955062987556764,2627,0,7395937.499999986
28,2038,146266629.5,77069161.51499999,64864800.0,1.2549461264044597,0.1881507615070113,2257,0,7596249.999999981
29,2039,142700160.5,75063362.25500001,65465400.0,1.179779860811971,0.14661122142383626,1893,0,7796562.499999989
30,2040,147044275.5,77025361.835,66366300.0,1.215646728836774,0.160609553869961,2411,0,7996875.0
31,2041,150594274.5,80127360.98499998,67167100.0,1.242083914595092,0.19295549435661186,2410,0,8197187.499999995
32,2042,152026627.5,81969360.42500001,68068000.0,1.2334522462831286,0.20422754341247007,2240,0,8397500.000000004
33,2043,155148053.5,83068502.665,68768700.0,1.2560853047970952,0.20794056983773151,2602,0,8597812.500000017
34,2044,154113053.5,82230302.66499999,69469400.0,1.2184307551238387,0.18369098718284585,2295,0,8798125.00000001
35,2045,149741599.0,80191636.2,70070000.0,1.1370286713286712,0.14445035250463825,1561,0,8998437.500000015
36,2046,152863025.0,81290778.43999998,70670600.0,1.1630356187721627,0.1502771794777458,1890,0,9198750.000000007
37,2047,152906025.0,81326898.43999998,71171100.0,1.1484285756437655,0.1426955384980699,1833,0,9399062.500000011
38,2048,152649599.0,81627956.2,71671600.0,1.1298477918729315,0.1389163378520921,1759,0,9599374.999999996
39,2049,152334599.0,80497606.2,72072000.0,1.1136446747696749,0.11690540293040297,1563,0,9799687.499999996
40,2050,153938599.0,80825866.2,72472400.00000001,1.1240996434504718,0.11526410330001471,1695,0,9999999.999999994
